H_boundary,start_M,known_n,hidden_k,cert_base,L_min,L_offset,L_cert,decimal_digits_used_for_cert,prefix_preview,true_hidden,true_full_preview,q_cell_C_digits,decimal_range_width,prefix_condition_range_width,candidate_count_after_prefix,recovered_hidden,success,ambiguous,Amin_minus_prefix_low,Amax_minus_prefix_low,candidate_low_minus_prefix_low,candidate_high_minus_prefix_low
251839,251740,99,1,4,167,1,168,162,546447861792435817101125518513,1,90345410532502054955...24358171011255185131,102,1,10,1,1,True,False,1,1,1,1
257948,257849,99,1,4,167,1,168,162,075908103313306591475749539436,5,39411720861353588405...33065914757495394365,101,1,10,1,5,True,False,5,5,5,5
266404,266305,99,1,4,167,1,168,162,725499842854841956681924545197,4,13810106667342459156...48419566819245451974,101,1,10,1,4,True,False,4,4,4,4
277982,277883,99,1,4,167,1,168,162,801563037304690809309792735365,8,01267456151310391071...46908093097927353658,100,1,10,1,8,True,False,8,8,8,8
279609,279510,99,1,4,167,1,168,162,782724332922702482645480284999,8,20121250377976572630...27024826454802849998,101,1,10,1,8,True,False,8,8,8,8
285642,285543,99,1,4,167,1,168,162,151575005988399640141880497306,9,64480790484267719159...83996401418804973069,101,2,10,1,9,True,False,9,10,9,9
308991,308892,99,1,4,167,1,168,162,900315217552148825260347141601,8,96268598180602937728...21488252603471416018,102,1,10,1,8,True,False,8,8,8,8
315630,315531,99,1,4,167,1,168,162,738166616867800483272929905942,8,35740287994013569211...78004832729299059428,101,1,10,1,8,True,False,8,8,8,8
336216,336117,99,1,4,167,1,168,162,498866876544103827053374089892,1,59687621596708124955...41038270533740898921,101,2,10,2,,False,True,0,1,0,1
367990,367891,99,1,4,167,1,168,162,164356596853145826507561070572,4,47491694646666789612...31458265075610705724,101,1,10,1,4,True,False,4,4,4,4
385566,385467,99,1,4,167,1,168,162,761100283487432190524333293992,8,18404784693642902511...74321905243332939928,101,1,10,1,8,True,False,8,8,8,8
403299,403200,99,1,4,167,1,168,162,401425042106378331650979093472,5,48119277796748391027...63783316509790934725,101,1,10,1,5,True,False,5,5,5,5
447395,447296,99,1,4,167,1,168,162,394961386871671776305654609188,5,58367600773900836561...16717763056546091885,101,1,10,1,5,True,False,5,5,5,5
