H_boundary,start_M,known_n,hidden_k,Q_cert,offset,D_total_decimal_depth,L_min,L_cert,decimal_digits_used_for_cert,known_prefix_tail_preview,true_hidden,recovered_hidden,success,ambiguous,candidate_count,surviving_digits_if_k1,A_min_minus_prefix_low,A_max_minus_prefix_low,candidate_low_minus_prefix_low,candidate_high_minus_prefix_low,q_cell_decimal_digits
50000,49900,100,1,16,0,101,84,84,192,112718106910522900246574236041,3,,False,True,2,23,2,3,2,3,101
50000,49900,100,1,16,1,101,84,85,193,112718106910522900246574236041,3,3,True,False,1,3,3,3,3,3,102
50000,49900,100,1,16,2,101,84,86,194,112718106910522900246574236041,3,3,True,False,1,3,3,3,3,3,103
50000,49900,100,1,16,4,101,84,88,196,112718106910522900246574236041,3,3,True,False,1,3,3,3,3,3,106
100000,99900,100,1,4,0,101,168,168,192,712790913767420805655493624646,4,4,True,False,1,4,4,4,4,4,102
100000,99900,100,1,4,1,101,168,169,192,712790913767420805655493624646,4,4,True,False,1,4,4,4,4,4,102
100000,99900,100,1,4,2,101,168,170,193,712790913767420805655493624646,4,4,True,False,1,4,4,4,4,4,103
100000,99900,100,1,4,4,101,168,172,194,712790913767420805655493624646,4,4,True,False,1,4,4,4,4,4,104
100000,99900,100,1,16,0,101,84,84,192,712790913767420805655493624646,4,4,True,False,1,4,4,4,4,4,102
100000,99900,100,1,16,1,101,84,85,193,712790913767420805655493624646,4,4,True,False,1,4,4,4,4,4,103
100000,99900,100,1,16,2,101,84,86,194,712790913767420805655493624646,4,4,True,False,1,4,4,4,4,4,104
100000,99900,100,1,16,4,101,84,88,196,712790913767420805655493624646,4,4,True,False,1,4,4,4,4,4,106
500000,499900,100,1,4,0,101,168,168,192,193325290740424876025138195242,6,,False,True,2,67,6,7,6,7,101
500000,499900,100,1,4,1,101,168,169,192,193325290740424876025138195242,6,,False,True,2,67,6,7,6,7,102
500000,499900,100,1,4,2,101,168,170,193,193325290740424876025138195242,6,6,True,False,1,6,6,6,6,6,103
500000,499900,100,1,4,4,101,168,172,194,193325290740424876025138195242,6,6,True,False,1,6,6,6,6,6,104
500000,499900,100,1,16,0,101,84,84,192,193325290740424876025138195242,6,,False,True,2,67,6,7,6,7,101
500000,499900,100,1,16,1,101,84,85,193,193325290740424876025138195242,6,6,True,False,1,6,6,6,6,6,103
500000,499900,100,1,16,2,101,84,86,194,193325290740424876025138195242,6,6,True,False,1,6,6,6,6,6,104
500000,499900,100,1,16,4,101,84,88,196,193325290740424876025138195242,6,6,True,False,1,6,6,6,6,6,106
1000000,999900,100,1,4,0,101,168,168,192,996346460422090106105779458151,3,,False,True,2,23,2,3,2,3,100
1000000,999900,100,1,4,1,101,168,169,192,996346460422090106105779458151,3,,False,True,2,23,2,3,2,3,101
1000000,999900,100,1,4,2,101,168,170,193,996346460422090106105779458151,3,3,True,False,1,3,3,3,3,3,101
1000000,999900,100,1,4,4,101,168,172,194,996346460422090106105779458151,3,3,True,False,1,3,3,3,3,3,103
