cutoff_H,step,boundary_before_step,tail_len,tail_preview,true_digit,selected_digit,accepted_count,accepted_digits,rejected_count,negative_alignment_candidates,certificate_guard_len,guard_preview,step_correct,tail_occurrences_in_known_after_step,tail_has_earlier_duplicate_diagnostic
100000,35,100034,100,002437968454377733902647251281,9,9,1,9,9,10,32,9416320076848736,True,1,False
100000,36,100035,100,024379684543777339026472512819,4,4,1,4,9,10,32,4163200768487362,True,1,False
100000,37,100036,100,243796845437773390264725128194,1,1,1,1,9,10,32,1632007684873625,True,1,False
100000,38,100037,100,437968454377733902647251281941,6,6,1,6,9,10,32,6320076848736251,True,1,False
100000,39,100038,100,379684543777339026472512819416,3,3,1,3,9,10,32,3200768487362517,True,1,False
100000,40,100039,100,796845437773390264725128194163,2,2,1,2,9,10,32,2007684873625176,True,1,False
100000,41,100040,100,968454377733902647251281941632,0,0,1,0,9,10,32,0076848736251764,True,1,False
100000,42,100041,100,684543777339026472512819416320,0,0,1,0,9,10,32,0768487362517640,True,1,False
100000,43,100042,100,845437773390264725128194163200,7,7,1,7,9,10,32,7684873625176406,True,1,False
100000,44,100043,100,454377733902647251281941632007,6,6,1,6,9,10,32,6848736251764065,True,1,False
100000,45,100044,100,543777339026472512819416320076,8,8,1,8,9,10,32,8487362517640659,True,1,False
100000,46,100045,100,437773390264725128194163200768,4,4,1,4,9,10,32,4873625176406596,True,1,False
100000,47,100046,100,377733902647251281941632007684,8,8,1,8,9,10,32,8736251764065967,True,1,False
100000,48,100047,100,777339026472512819416320076848,7,7,1,7,9,10,32,7362517640659675,True,1,False
100000,49,100048,100,773390264725128194163200768487,3,3,1,3,9,10,32,3625176406596754,True,1,False
100000,50,100049,100,733902647251281941632007684873,6,6,1,6,9,10,32,6251764065967540,True,1,False
100000,51,100050,100,339026472512819416320076848736,2,2,1,2,9,10,32,2517640659675406,True,1,False
100000,52,100051,100,390264725128194163200768487362,5,5,1,5,9,10,32,5176406596754069,True,1,False
100000,53,100052,100,902647251281941632007684873625,1,1,1,1,9,10,32,1764065967540693,True,1,False
100000,54,100053,100,026472512819416320076848736251,7,7,1,7,9,10,32,7640659675406936,True,1,False
100000,55,100054,100,264725128194163200768487362517,6,6,1,6,9,10,32,6406596754069362,True,1,False
100000,56,100055,100,647251281941632007684873625176,4,4,1,4,9,10,32,4065967540693621,True,1,False
100000,57,100056,100,472512819416320076848736251764,0,0,1,0,9,10,32,0659675406936217,True,1,False
100000,58,100057,100,725128194163200768487362517640,6,6,1,6,9,10,32,6596754069362175,True,1,False
100000,59,100058,100,251281941632007684873625176406,5,5,1,5,9,10,32,5967540693621758,True,1,False
100000,60,100059,100,512819416320076848736251764065,9,9,1,9,9,10,32,9675406936217588,True,1,False
100000,61,100060,100,128194163200768487362517640659,6,6,1,6,9,10,32,6754069362175887,True,1,False
100000,62,100061,100,281941632007684873625176406596,7,7,1,7,9,10,32,7540693621758879,True,1,False
100000,63,100062,100,819416320076848736251764065967,5,5,1,5,9,10,32,5406936217588793,True,1,False
100000,64,100063,100,194163200768487362517640659675,4,4,1,4,9,10,32,4069362175887930,True,1,False
100000,65,100064,100,941632007684873625176406596754,0,0,1,0,9,10,32,0693621758879307,True,1,False
100000,66,100065,100,416320076848736251764065967540,6,6,1,6,9,10,32,6936217588793078,True,1,False
100000,67,100066,100,163200768487362517640659675406,9,9,1,9,9,10,32,9362175887930785,True,1,False
100000,68,100067,100,632007684873625176406596754069,3,3,1,3,9,10,32,3621758879307855,True,1,False
100000,69,100068,100,320076848736251764065967540693,6,6,1,6,9,10,32,6217588793078559,True,1,False
100000,70,100069,100,200768487362517640659675406936,2,2,1,2,9,10,32,2175887930785591,True,1,False
100000,71,100070,100,007684873625176406596754069362,1,1,1,1,9,10,32,1758879307855916,True,1,False
100000,72,100071,100,076848736251764065967540693621,7,7,1,7,9,10,32,7588793078559164,True,1,False
100000,73,100072,100,768487362517640659675406936217,5,5,1,5,9,10,32,5887930785591647,True,1,False
100000,74,100073,100,684873625176406596754069362175,8,8,1,8,9,10,32,8879307855916478,True,1,False
100000,75,100074,100,848736251764065967540693621758,8,8,1,8,9,10,32,8793078559164787,True,1,False
100000,76,100075,100,487362517640659675406936217588,7,7,1,7,9,10,32,7930785591647877,True,1,False
100000,77,100076,100,873625176406596754069362175887,9,9,1,9,9,10,32,9307855916478777,True,1,False
100000,78,100077,100,736251764065967540693621758879,3,3,1,3,9,10,32,3078559164787772,True,1,False
